,Names,Phones,Website,Street,City,State,Zip,Clg_type,Award,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
10,Academy di Firenze,(208) 644-1546,www.academydifirenze.com/,149 West Main Street, Jerome,Idaho,83338-2329,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Town: Remote,No,15 (all undergraduate),8 to 1
11,Academy for Careers and Technology,(843) 423-1941,www.mcact.org/,2697 E Hwy 76, Mullins,South Carolina,29574-6009,"2-year, Public",One but less than two years certificate,Rural: Fringe,No,58 (all undergraduate),10 to 1
12,Academy for Nursing and Health Occupations,(561) 683-1400,www.anho.edu/,5154 Okeechobee Blvd Ste 201, West Palm Beach,Florida,33417,"2-year, Private not-for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,703 (all undergraduate),36 to 1
13,Academy for Salon Professionals,(818) 701-5799,www.academyla.com/,19520 Nordhoff St. Unit 9, Northridge,California,91324,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,101 (all undergraduate),13 to 1
14,Academy of Art University,(800) 544-2787,www.academyart.edu/,79 New Montgomery, San Francisco,California,94105,"4-year, Private for-profit",Associate's degree<br/>Two but less than 4 years certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree,City: Large,Yes,"8,928 (6,124 undergraduate)",14 to 1
15,Academy of Career Training,(407) 943-8777,academyofcareertraining.com/,3501 W Vine St Ste 111, Kissimmee,Florida,34741,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,67 (all undergraduate),13 to 1
16,Academy of Careers and Technology,(304) 256-4615 x302,www.wvact.net/,390 Stanaford Rd, Beckley,West Virginia,25801,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,180 (all undergraduate),14 to 1
17,Academy of Cosmetology,(321) 452-8490,academyofcosmetology.edu/,2088 N. Courtenay Parkway, Merritt Island,Florida,32953,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,113 (all undergraduate),16 to 1
18,Academy of Cosmetology and Esthetics NYC,(718) 979-9001,www.theacademynyc.com/,187 New Dorp Ln, Staten Island,New York,10306,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,35 (all undergraduate),10 to 1
19,Academy of Cosmetology Inc,(406) 587-1264,www.academycosmetology.com/,133 W Mendenhall, Bozeman,Montana,59715-3544,"2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,33 (all undergraduate),17 to 1
20,Academy of Esthetics and Cosmetology,(818) 361-5501,www.aecosmetology.com/,1242 San Fernando Rd, San Fernando,California,91340-3212,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,24 (all undergraduate),25 to 1
21,Academy of Hair Design-Grenada,(601) 372-9800,www.academyofhair.com/grenada-campus,1301 Sunset Dr #JK, Grenada,Mississippi,38901,"2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,34 (all undergraduate),15 to 1
22,Academy of Hair Design-Jackson,(601) 372-9800,www.academyofhair.com/,5420 I-55 Frontage Rd N, Jackson,Mississippi,39211,"2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,62 (all undergraduate),15 to 1
23,Academy of Hair Design-Jasper,(409) 384-8200,lufkinhairdesign.com/,348 Spring Hill St, Jasper,Texas,75951,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Town: Remote,No,46 (all undergraduate),12 to 1
24,Academy of Hair Design-Las Vegas,(702) 878-1185 x21,www.ahdvegas.com/,5191 W. Charleston, #150,Nevada,89146,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,182 (all undergraduate),10 to 1
25,Academy of Hair Design-Lufkin,(936) 634-8440,lufkinhairdesign.com/,512 S Chestnut, Lufkin,Texas,75904,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Town: Remote,No,83 (all undergraduate),10 to 1
26,Academy of Hair Design-Oklahoma City,(405) 842-2031,www.academyofhairdesignok.com/,2501 W Memorial Rd Suite 229, Oklahoma City,Oklahoma,73134-8055,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,57 (all undergraduate),14 to 1
27,Academy of Hair Design-Pearl,(601) 372-9800,www.academyofhair.com/,3167 Hwy 80 E, Pearl,Mississippi,39208,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,45 (all undergraduate),10 to 1
28,Academy of Hair Design-Springfield,(417) 881-3900 x305,aohd.com/,1834 S Glenstone, Springfield,Missouri,65804,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,260 (all undergraduate),15 to 1
29,Academy of Hair Technology,(864) 322-0300,www.hairchamps.com/,3715 E North St Ste F, Greenville,South Carolina,29615-2363,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,28 (all undergraduate),14 to 1
30,Academy of Interactive Entertainment,(206) 428-6350,www.aie.edu/,305 Harrison St Ste 405, Seattle,Washington,98109-4623,"2-year, Private not-for-profit",Two but less than 4 years certificate,City: Large,No,135 (all undergraduate),27 to 1
31,Academy of Interactive Entertainment,(337) 205-6604,www.lafayette.aie.edu/,537 Cajundome Boulevard #211, Lafayette,Louisiana,70506-4293,"2-year, Private not-for-profit",Associate's degree<br/>Two but less than 4 years certificate,City: Midsize,No,112 (all undergraduate),22 to 1
32,Academy of Massage and Bodywork,(302) 392-6768,www.massage-academy.com/,1218 Pulaski Hwy Ste 324, Bear,Delaware,19701,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,94 (all undergraduate),8 to 1
33,Academy of Natural Therapy Inc,(970) 352-1181,www.natural-therapy.com/,625 8th Ave, Greeley,Colorado,80631-9441,"2-year, Private for-profit",Less than one year certificate,City: Midsize,No,41 (all undergraduate),9 to 1
34,Academy of Professional Cosmetology,(479) 246-0046,www.apcschools.com/,2600 West Hudson Road Suite A, Rogers,Arkansas,72756-2028,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,115 (all undergraduate),30 to 1
35,Academy of Salon and Spa,(479) 782-5059,www.academysalonspa.com/,311 S 16th St, Fort Smith,Arkansas,72901,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,53 (all undergraduate),20 to 1
36,Academy of Salon Professionals,(660) 827-4500,www.academyofsalonprofessionals.com/,2414 S. Limit Ave, Sedalia,Missouri,65301,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Town: Remote,No,44 (all undergraduate),15 to 1
37,Acaydia School of Aesthetics,(801) 377-0025 x3,www.acaydia.com/,86 North University Avenue, Suite 130,Utah,84601-0000,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,133 (all undergraduate),10 to 1
38,Access Careers,(516) 433-0034,www.accesscareers.net/,474 Fulton Avenue, Suite 201,New York,11550-0000,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,125 (all undergraduate),20 to 1
39,Access Careers-Islandia,(631) 630-9410,www.accesscareers.net/,1930 Veterans Highway, Suite 10,New York,11749-1599,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,89 (all undergraduate),13 to 1
40,Ace Cosmetology and Barber Training Center,(203) 879-9989,acetrainingcenters.com/,625 Wolcott Street  Suite 7, Waterbury,Connecticut,06705,"2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,71 (all undergraduate),15 to 1
41,Ace Institute of Technology,(212) 695-9700,www.acecareer.edu/,312 West 36 Street, 2nd Floor,New York,10018,"2-year, Private for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate,City: Large,No,204 (all undergraduate),11 to 1
42,Acupuncture and Massage College,(305) 595-9500,www.amcollege.edu/,10506 N Kendall Drive, Miami,Florida,33176,"4-year, primarily associate's, Private for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,City: Small,No,171 (41 undergraduate),24 to 1
43,Adelphi University,(516) 877-3000,www.adelphi.edu/,South Ave, Garden City,New York,11530-0701,"4-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,Suburb: Large,Yes,"7,584 (5,124 undergraduate)",12 to 1
44,Adrian College,(517) 265-5161,www.adrian.edu/,110 S Madison St, Adrian,Michigan,49221-2575,"4-year, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree,Town: Distant,Yes,"1,865 (1,788 undergraduate)",14 to 1
45,Adrian H. Wallace Barber Academy,(443) 564-3005,www.ahwbarberacademy.com/,3822 North 9th Avenue, Pensacola,Florida,32503-2802,"2-year, Private for-profit",One but less than two years certificate,City: Small,No,30 (all undergraduate),10 to 1
46,Adrian's College of Beauty Turlock,(209) 632-2233,www.adrians.edu/,1340 W Main St, Turlock,California,95380,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Small,No,85 (all undergraduate),10 to 1
47,Adult and Community Education-Hudson,(614) 365-6000,www.ccsoh.us/site/default.aspx?pageid=334,2323 Lexington Avenue, Columbus,Ohio,43211,"2-year, Public",One but less than two years certificate,City: Large,No,81 (all undergraduate),9 to 1
48,Adult and Continuing Education-BCTS,(201) 343-6000 x2288,bcts.bergen.org/index.php/adult-ed-main-page,190 Hackensack Avenue, Hackensack,New Jersey,07601-6637,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,60 (all undergraduate),15 to 1
49,Advance Beauty College,(714) 530-2131,www.advancebeautycollege.com/,10121 Westminster Ave, Garden Grove,California,92843,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,464 (all undergraduate),30 to 1
50,Advance Beauty Techs Academy,(951) 487-8751,www.abt.edu/,641 N State St Ste 1, San Jacinto,California,92583-6572,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,110 (all undergraduate),20 to 1
51,Advanced Barber College and Hair Design,(956) 969-0341,abcrgv.com/,2818 S International, Weslaco,Texas,78596,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,182 (all undergraduate),20 to 1
52,Advanced Beauty College,(214) 492-2076,www.advancedbeautycollege.net/,3959 N. Beltline Rd., Irving,Texas,75038,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,15 (all undergraduate),4 to 1
53,Advanced Career Institute,(559) 651-1978,advanced.edu/,1728 North Kelsey Street, Visalia,California,93291,"2-year, Private for-profit",Less than one year certificate,City: Midsize,No,670 (all undergraduate),14 to 1
54,Advanced College,(562) 408-6969,www.advancedcollege.edu/,13180 Paramount Blvd., South Gate,California,90280,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Suburb: Large,No,59 (all undergraduate),6 to 1
55,Advanced College of Cosmetology,(920) 324-3427,www.accsuccess.com/,25 West Main Street, Waupun,Wisconsin,53963-0000,"2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,27 (all undergraduate),5 to 1
56,Advanced Technology Institute,(757) 490-1241,www.auto.edu/,5700 Southern Blvd Ste 100, Virginia Beach,Virginia,23462,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Large,No,461 (all undergraduate),14 to 1
57,Advanced Training Institute,(702) 658-7900,www.atitraining.edu/,5150 S. Decatur Blvd., Las Vegas,Nevada,89118-1519,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,605 (all undergraduate),10 to 1
58,Advanced Welding Institute,(802) 660-0600,www.awi.edu/,2 Green Tree Dr Suite 3, South Burlington,Vermont,05403,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,66 (all undergraduate),11 to 1
59,Advantage Career Institute,(732) 440-4110,www.aci.edu/,"<span class=""disted"">All programs offered completely via Distance education</span><br/>2 Meridian Road", Eatontown,New Jersey,07724,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,77 (all undergraduate),18 to 1
60,Advantage Technical College,(787) 854-4776,www.adtecpr.com/,3 Ramos Velez St, Manati,Puerto Rico,00674,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,512 (all undergraduate),48 to 1
61,Advantage Technical College,(787) 908-1000,www.adtecpr.com/,Ponce de Leon Avenue #818, San Juan,Puerto Rico,00907-0000,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,486 (all undergraduate),63 to 1
62,Advantage Technical College-Aguadilla,(787) 658-1667,www.adtecpr.com/,#7 Jose de Jesus Estevez Street, Aguadilla,Puerto Rico,00603-0000,"2-year, Private for-profit",One but less than two years certificate,City: Small,No,169 (all undergraduate),42 to 1
63,AdventHealth University,(407) 303-7742,www.ahu.edu/,671 Winyah Drive, Orlando,Florida,32803,"4-year, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree<br/>Doctor's degree - professional practice,City: Large,Yes,"1,802 (1,249 undergraduate)",7 to 1
64,Aesthetic Science Institute,(518) 786-0760,www.aestheticscienceinstitute.edu/,922 Troy-Schenectady Road, Latham,New York,12110-1095,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,79 (all undergraduate),16 to 1
65,AI Miami International University of Art and Design,(305) 428-5700,www.artinstitutes.edu/miami/,1501 Biscayne Boulevard, Suite 100,Florida,33132-1418,"4-year, Private for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree,City: Large,No,934 (874 undergraduate),17 to 1
66,Aiken School of Cosmetology and Barbering,(803) 644-7133,www.ascandb.com/,225 Richland Ave East, Aiken,South Carolina,29801,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,74 (all undergraduate),20 to 1
67,Aiken Technical College,(803) 508-7263,www.atc.edu/,2276 Jefferson Davis Highway, Graniteville,South Carolina,29829,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Rural: Fringe,No,"1,925 (all undergraduate)",11 to 1
68,Aims Community College,(970) 330-8008,www.aims.edu/,5401 W. 20th St., Greeley,Colorado,80634,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Midsize,No,"5,981 (all undergraduate)",15 to 1
69,Alabama School of Nail Technology & Cosmetology,(251) 246-9992,www.alabamaschoolofnailtechnology.com/,202 Commerce Street, Jackson,Alabama,36545-2718,"2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,25 (all undergraduate),20 to 1
70,Alabama State College of Barber Styling,(205) 631-8898,www.ascbs.edu/,753 Main Street, Gardendale,Alabama,35071,"2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,6 (all undergraduate),6 to 1
71,Alamance Community College,(336) 578-2002,www.alamancecc.edu/,1247 Jimmie Kerr Road, Graham,North Carolina,27253-8000,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Rural: Fringe,No,"4,037 (all undergraduate)",14 to 1
72,Alamo City Barber College,(210) 523-7777,www.alamocitybarbercollege.com/,8910 Bandera Road Suite 209, San Antonio,Texas,78250-3227,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,143 (all undergraduate),25 to 1
73,Alaska Bible College,(907) 745-3201,www.akbible.edu/,248 E Elmwood Ave, Palmer,Alaska,99645,"4-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate<br/>Bachelor's degree,Town: Distant,Yes,40 (all undergraduate),6 to 1
74,Alaska Career College,(907) 563-7575,www.alaskacareercollege.edu/,1415 E Tudor Road, Anchorage,Alaska,99507-1033,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Large,No,412 (all undergraduate),16 to 1
75,Alaska Pacific University,(907) 561-1266,www.alaskapacific.edu/,4101 University Dr, Anchorage,Alaska,99508,"4-year, Private not-for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - professional practice,City: Large,Yes,493 (312 undergraduate),8 to 1
76,Alaska Vocational Technical Center,(907) 224-3322,www.avtec.edu/,PO Box 889, Seward,Alaska,99664-0889,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Rural: Remote,Yes,185 (all undergraduate),12 to 1
77,Albany BOCES-Adult Practical Nursing Program,(518) 862-4800,www.capitalregionboces.org/adult-education/classes-programs/,900  Watervliet Shaker Rd, Albany,New York,12205,"2-year, Public",One but less than two years certificate,Suburb: Large,No,161 (all undergraduate),35 to 1
78,Albany State University,(229) 500-3500,www.asurams.edu/,504 College Drive, Albany,Georgia,31705,"4-year, Public",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree<br/>Post-master's certificate,City: Small,Yes,"6,509 (6,102 undergraduate)",19 to 1
79,Albany Technical College,(229) 430-3500,www.albanytech.edu/,1704 South Slappey Boulevard, Albany,Georgia,31701,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,City: Small,No,"3,022 (all undergraduate)",14 to 1
80,Albertus Magnus College,(203) 773-8550,www.albertus.edu/,700 Prospect St, New Haven,Connecticut,06511-1189,"4-year, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate,City: Midsize,Yes,"1,384 (1,088 undergraduate)",14 to 1
81,Albizu University-Miami,(305) 593-1223,www.albizu.edu/,2173 N.W. 99th Avenue, Miami,Florida,33172-2209,"4-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree<br/>Doctor's degree - research/scholarship,City: Small,No,802 (146 undergraduate),12 to 1
82,Albright College,(610) 921-2381,www.albright.edu/home/,1621 N. 13th St., Reading,Pennsylvania,19612-5234,"4-year, Private not-for-profit",One but less than two years certificate<br/>Two but less than 4 years certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree,City: Small,Yes,"1,584 (1,539 undergraduate)",12 to 1
83,Alexander Academy,(978) 345-0011,www.alexanderacademy.com/,55 Massachusetts Avenue, Lunenburg,Massachusetts,01462-0000,"2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,48 (all undergraduate),6 to 1
84,Alexander Paul Institute of Hair Design,(252) 830-5536 x2,www.alexanderpaul.edu/,1011 Charles Blvd Ste A, Greenville,North Carolina,27858-3344,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,46 (all undergraduate),12 to 1
85,Alexandria School of Scientific Therapeutics,(765) 724-9152,www.assti.com/,809 S Harrison St, Alexandria,Indiana,46001-0287,"2-year, Private for-profit",Less than one year certificate,Suburb: Small,Yes,17 (all undergraduate),17 to 1
86,Alexandria Technical & Community College,(320) 762-0221,www.alextech.edu/,1601 Jefferson Streeet, Alexandria,Minnesota,56308,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,Town: Remote,No,"2,549 (all undergraduate)",20 to 1
87,Alhambra Beauty College,(626) 282-7765,alhambrabeauty.edu/,200 W Main St, Alhambra,California,91801,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,46 (all undergraduate),20 to 1
88,All Beauty College,(928) 453-1212,abcollege.edu/,2060 W. Acoma Boulevard, Lake Havasu City,Arizona,86403-2974,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,8 (all undergraduate),8 to 1
89,All Beauty College,(928) 763-3900,abcollege.edu/,2350 Miracle Mile Rd Unit 316, Bullhead City,Arizona,86442,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Town: Remote,No,11 (all undergraduate),11 to 1
90,All Beauty College,(928) 453-1212,abcollege.edu/,2060 W. Acoma Boulevard, Lake Havasu City,Arizona,86403-2974,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,8 (all undergraduate),8 to 1
91,Allan Hancock College,(805) 922-6966,www.hancockcollege.edu/,800 South College Drive, Santa Maria,California,93454-6399,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,City: Midsize,No,"10,248 (all undergraduate)",22 to 1
92,Allegany College of Maryland,(301) 784-5000,www.allegany.edu/,12401 Willowbrook Rd SE, Cumberland,Maryland,21502-2596,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,City: Small,Yes,"2,523 (all undergraduate)",11 to 1
93,Allegheny Wesleyan College,(330) 337-6403 x170,awc.edu/,2161 Woodsdale Rd, Salem,Ohio,44460-9598,"4-year, Private not-for-profit",Less than one year certificate<br/>Associate's degree<br/>Bachelor's degree,Rural: Fringe,Yes,67 (all undergraduate),8 to 1
94,Allen College,(319) 226-2000,www.allencollege.edu/,1990 Heath St, Waterloo,Iowa,50703-1999,"4-year, Private not-for-profit",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - other,City: Small,No,678 (374 undergraduate),11 to 1
95,Allen County Community College,(620) 365-5116 x100,www.allencc.edu/,1801 N Cottonwood, Iola,Kansas,66749,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree,Town: Remote,Yes,"2,113 (all undergraduate)",20 to 1
96,Allen School-Brooklyn,(718) 243-1700,www.allenschool.edu/,188 Montague Street, Brooklyn,New York,11201,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,184 (all undergraduate),19 to 1
97,Allen School-Jamaica,(718) 291-2200,www.allenschool.edu/,163-18 Jamaica Avenue, Jamaica,New York,11432,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,91 (all undergraduate),17 to 1
98,Allen School-Phoenix,(623) 385-8150,www.allenschool.edu/,15650 North Black Canyon Highway, B210,Arizona,85053-4064,"2-year, Private for-profit",Less than one year certificate,City: Large,No,24 (all undergraduate),17 to 1
99,Allgood Beauty Institute,(469) 252-1747,allgoodbeauty.com/,9741 Preston Road Suite 106, Frisco,Texas,75033-4112,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,16 (all undergraduate),16 to 1
100,Alliance Career Center,(330) 821-2102,www.accrtw.org/,500 Glamorgan St., Alliance,Ohio,44601,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Town: Fringe,No,50 (all undergraduate),8 to 1
101,Alliance Computing Solutions,(718) 661-9771,www.acs.edu/,3660 Main Street, 4th Floor,New York,11354-6507,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,7 (all undergraduate),12 to 1
102,Alliant International University-San Diego,(866) 825-5426,www.alliant.edu/,10455 Pomerado Road, San Diego,California,92131,"4-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Post-master's certificate<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,City: Large,No,"3,429 (431 undergraduate)",6 to 1
103,Allied Health Careers Institute,(615) 396-8733,www.ahci.edu/,1237 Commerce Park, Murfreesboro,Tennessee,37130-5996,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,78 (all undergraduate),10 to 1
104,All-State Career School,(610) 362-1124,www.allstatecareer.edu/,50 West Powhattan Avenue, Essington,Pennsylvania,19029,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Two but less than 4 years certificate,Suburb: Large,No,834 (all undergraduate),23 to 1
105,All-State Career School-Pittsburgh,(412) 823-1818,www.allstatecareer.edu/,1200 Lebanon Road, West Mifflin,Pennsylvania,15122,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,388 (all undergraduate),17 to 1
106,All-State Career-Baltimore,(410) 631-1818,www.allstatecareer.edu/,2200 Broening Hwy Ste 160, Baltimore,Maryland,21224,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Large,No,525 (all undergraduate),21 to 1
107,Allstate Hairstyling & Barber College,(216) 241-6684,www.allstatehairstyling.com/,2546 Lorain Avenue, Cleveland,Ohio,44113-3413,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Two but less than 4 years certificate,City: Large,No,30 (all undergraduate),10 to 1
108,Alpena Community College,(989) 356-9021,www.alpenacc.edu/,665 Johnson St, Alpena,Michigan,49707,"4-year, primarily associate's, Public",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Rural: Fringe,Yes,"1,436 (all undergraduate)",13 to 1
